,Year,Crop,Area,Production,Yield,Annual Temp
10,2007,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,6876147.31,17396191,88.323837375,25.67
11,2008,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,6567748.37,16831904,89.017507048,25.55
12,2009,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,6985274.0,15274999,104.996796346,26.05
13,2010,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,7256368.0,20585981,124.430444123,26.03
14,2011,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,7590076.0,20572920,128.444343944,25.62
15,2012,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,7557683.2,21485507,125.07024123400001,25.6
16,2013,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,7725949.0,24801783,155.877386943,25.68
17,2014,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,8137394.0,23348164,150.897464187,25.73
18,2015,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,7763773.0,21563957,131.511013755,25.92
19,2016,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,8469517.0,26207792,133.443570559,26.2
20,2017,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,8503971.86,31359043,154.31032248900001,26.04
21,2018,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,8242087.325999999,26534610,145.658360212,25.9
22,2019,MaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaizeMaize,9029751.0,31469091,151.799527449,25.86
23,2020,MaizeMaize,19895.0,41538,4.098076923,25.78
